"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2025","791.20","785.97","794.90","770.18","","0.63%"
"05/01/2025","786.22","760.77","788.37","757.73","","5.15%"
"04/01/2025","747.70","739.68","747.70","653.80","","2.14%"
"03/01/2025","732.06","761.28","766.64","732.06","","-3.27%"
"02/01/2025","756.80","748.13","771.16","748.13","","-0.01%"
"01/01/2025","756.85","728.15","756.85","709.89","","5.36%"
"12/01/2024","718.37","729.54","741.13","715.92","","-1.32%"
"11/01/2024","728.01","727.06","738.43","714.99","","0.82%"
"10/01/2024","722.06","747.60","750.06","722.06","","-4.05%"
"09/01/2024","752.55","746.02","760.06","723.35","","0.71%"
"08/01/2024","747.26","733.18","747.26","693.23","","0.68%"
"07/01/2024","742.20","721.77","744.13","719.71","","3.10%"
"06/01/2024","719.88","752.22","752.22","719.88","","-3.68%"
"05/01/2024","747.41","713.89","752.94","713.89","","4.82%"
"04/01/2024","713.04","715.44","720.98","698.29","","-1.29%"
"03/01/2024","722.34","699.44","722.34","693.45","","4.33%"
"02/01/2024","692.39","679.93","695.96","674.30","","1.19%"
"01/01/2024","684.23","689.08","689.08","661.31","","-1.27%"
"12/01/2023","693.02","657.61","695.47","653.68","","6.68%"
"11/01/2023","649.61","602.44","650.77","602.44","","8.28%"
"10/01/2023","599.96","627.11","630.08","589.04","","-5.64%"
"09/01/2023","635.81","657.50","657.50","627.63","","-3.40%"
"08/01/2023","658.19","676.83","676.83","638.52","","-3.58%"
"07/01/2023","682.60","652.29","684.54","633.00","","4.74%"
"06/01/2023","651.70","644.31","667.54","634.51","","1.99%"
"05/01/2023","639.00","656.98","667.17","639.00","","-4.08%"
"04/01/2023","666.15","652.24","666.31","643.15","","1.77%"
"03/01/2023","654.54","669.99","680.42","628.13","","-3.29%"
"02/01/2023","676.82","663.92","684.13","663.92","","2.54%"
"01/01/2023","660.04","622.66","669.83","622.66","","7.03%"
"12/01/2022","616.71","639.76","641.64","611.62","","-2.01%"
"11/01/2022","629.34","595.22","642.52","584.11","","6.69%"
"10/01/2022","589.85","558.13","590.20","540.36","","7.00%"
"09/01/2022","551.25","602.44","633.68","537.98","","-10.96%"
"08/01/2022","619.08","669.27","676.04","619.08","","-7.85%"
"07/01/2022","671.81","613.52","671.81","601.02","","9.73%"
"06/01/2022","612.25","685.13","692.87","612.10","","-11.62%"
"05/01/2022","692.73","694.33","697.25","640.33","","-1.87%"
"04/01/2022","705.94","730.54","736.06","695.47","","-2.83%"
"03/01/2022","726.49","699.68","741.29","650.62","","1.00%"
"02/01/2022","719.27","762.96","770.37","689.78","","-4.40%"
"01/01/2022","752.35","814.99","821.41","729.54","","-7.49%"
"12/01/2021","813.23","793.84","813.23","770.10","","3.71%"
"11/01/2021","784.11","813.46","831.69","783.53","","-3.06%"
"10/01/2021","808.85","779.76","812.63","770.06","","3.68%"
"09/01/2021","780.13","820.53","826.77","777.59","","-4.48%"
"08/01/2021","816.72","799.53","820.14","799.22","","3.28%"
"07/01/2021","790.81","768.53","794.18","755.24","","3.99%"
"06/01/2021","760.50","764.29","766.43","0.00","","0.26%"
"05/01/2021","758.52","742.51","0.00","0.00","","2.79%"
"04/01/2021","737.90","720.33","0.00","0.00","","3.63%"
"03/01/2021","712.06","692.33","0.00","0.00","","4.94%"
"02/01/2021","678.55","669.46","0.00","0.00","","2.53%"
"01/01/2021","661.81","661.55","0.00","0.00","","0.13%"
"12/01/2020","660.97","632.54","0.00","0.00","","5.33%"
"11/01/2020","627.51","555.33","0.00","0.00","","13.98%"
"10/01/2020","550.56","579.25","0.00","0.00","","-4.65%"
"09/01/2020","577.41","583.44","0.00","0.00","","-1.60%"
"08/01/2020","586.77","564.96","0.00","0.00","","5.70%"
"07/01/2020","555.15","550.28","0.00","0.00","","1.48%"
"06/01/2020","547.04","559.04","0.00","0.00","","-0.01%"
"05/01/2020","547.10","500.17","0.00","0.00","","5.63%"
"04/01/2020","517.93","453.22","0.00","0.00","","11.41%"
"03/01/2020","464.90","564.01","0.00","0.00","","-18.08%"
"02/01/2020","567.52","618.90","0.00","0.00","","-8.10%"
"01/01/2020","617.55","637.19","0.00","0.00","","-2.03%"
"12/01/2019","630.34","604.42","0.00","0.00","","3.08%"
"11/01/2019","611.50","594.12","0.00","0.00","","3.86%"
"10/01/2019","588.75","572.56","588.75","0.00","","1.86%"
"09/01/2019","578.02","560.85","0.00","0.00","","3.12%"
"08/01/2019","560.52","573.79","0.00","0.00","","-1.86%"
"07/01/2019","571.12","575.31","0.00","0.00","","0.33%"
"06/01/2019","569.26","542.39","0.00","0.00","","4.75%"
"05/01/2019","543.47","572.63","0.00","0.00","","-5.78%"
"04/01/2019","576.84","560.56","0.00","0.00","","4.50%"
"03/01/2019","551.99","551.62","0.00","0.00","","0.94%"
"02/01/2019","546.84","527.56","0.00","0.00","","3.77%"
"01/01/2019","526.97","488.45","0.00","0.00","","8.58%"
"12/01/2018","485.32","519.81","0.00","0.00","","-5.65%"
"11/01/2018","514.36","530.26","0.00","0.00","","-2.24%"
"10/01/2018","526.13","568.36","0.00","0.00","","-7.12%"
"09/01/2018","566.49","573.03","0.00","0.00","","-1.39%"
