"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","36.96","38.85","39.63","36.10","1.02M","-3.84%"
"06/01/2025","38.43","35.58","38.50","35.58","1.50M","7.03%"
"05/01/2025","35.90","36.36","37.59","34.92","1.10M","0.91%"
"04/01/2025","35.58","34.53","36.28","30.40","601.51K","4.39%"
"03/01/2025","34.08","32.22","35.95","31.16","813.28K","5.59%"
"02/01/2025","32.28","33.10","35.22","32.28","1.23M","-5.18%"
"01/01/2025","34.04","29.82","34.24","29.60","914.51K","13.48%"
"12/01/2024","30.00","32.43","33.98","29.66","2.41M","-7.52%"
"11/01/2024","32.44","35.08","36.13","31.77","484.90K","-7.66%"
"10/01/2024","35.13","37.56","37.95","34.69","487.83K","-6.09%"
"09/01/2024","37.41","37.83","38.70","36.26","458.16K","-0.12%"
"08/01/2024","37.46","35.03","39.42","32.63","896.95K","6.72%"
"07/01/2024","35.10","34.73","37.21","34.19","489.18K","0.67%"
"06/01/2024","34.86","36.58","36.58","33.81","118.31K","-3.91%"
"05/01/2024","36.28","38.38","40.01","36.09","415.88K","-4.95%"
"04/01/2024","38.17","39.17","40.60","36.37","32.53K","-3.83%"
"03/01/2024","39.69","40.47","40.84","38.85","709.50K","-1.85%"
"02/01/2024","40.44","40.17","41.79","39.40","852.66K","-0.42%"
"01/01/2024","40.61","43.03","43.03","39.45","334.57K","-5.15%"
"12/01/2023","42.81","39.98","43.49","39.24","751.01K","7.64%"
"11/01/2023","39.78","34.99","40.50","34.99","315.00K","13.64%"
"10/01/2023","35.00","36.46","36.51","33.48","454.24K","-4.04%"
"09/01/2023","36.47","36.53","38.48","35.35","853.30K","-0.68%"
"08/01/2023","36.72","39.91","39.91","35.56","645.46K","-7.80%"
"07/01/2023","39.83","38.21","40.61","36.33","381.04K","4.68%"
"06/01/2023","38.05","33.04","39.10","33.04","268.11K","15.72%"
"05/01/2023","32.88","32.40","34.97","31.25","979.07K","1.87%"
"04/01/2023","32.28","31.58","34.06","30.96","166.33K","2.20%"
"03/01/2023","31.58","31.62","32.60","28.34","269.90K","0.19%"
"02/01/2023","31.52","34.99","35.02","31.52","465.25K","-9.05%"
"01/01/2023","34.65","32.12","35.35","29.77","347.65K","7.54%"
"12/01/2022","32.22","33.67","33.88","29.77","157.10K","-2.92%"
"11/01/2022","33.19","35.13","37.00","30.46","752.10K","-2.01%"
"10/01/2022","33.88","32.99","36.50","31.84","164.57K","7.18%"
"09/01/2022","31.60","32.45","34.72","30.53","184.69K","-4.27%"
"08/01/2022","33.01","30.97","35.08","30.31","226.71K","6.67%"
"07/01/2022","30.95","28.70","31.17","27.00","334.29K","5.88%"
"06/01/2022","29.23","36.35","36.67","28.88","216.21K","-18.97%"
"05/01/2022","36.08","33.49","37.03","30.75","321.04K","4.23%"
"04/01/2022","34.61","38.90","40.63","33.26","323.69K","-11.26%"
"03/01/2022","39.00","33.90","39.08","32.65","555.72K","15.92%"
"02/01/2022","33.65","32.49","34.86","31.80","483.37K","4.13%"
"01/01/2022","32.31","28.44","32.33","26.98","241.21K","14.39%"
"12/01/2021","28.25","27.90","29.86","27.31","327.47K","3.98%"
"11/01/2021","27.17","28.03","30.14","27.11","287.83K","-3.81%"
"10/01/2021","28.24","30.17","31.55","27.13","385.13K","-8.74%"
"09/01/2021","30.94","35.11","35.19","30.32","656.68K","-11.66%"
"08/01/2021","35.03","35.88","36.94","32.26","432.87K","-3.96%"
"07/01/2021","36.47","38.46","38.66","35.58","164.50K","-4.54%"
"06/01/2021","38.21","36.94","40.00","36.94","324.75K","5.57%"
"05/01/2021","36.19","33.17","36.42","32.90","258.96K","8.11%"
"04/01/2021","33.48","31.23","34.72","30.76","263.44K","7.77%"
"03/01/2021","31.07","30.13","32.33","28.50","329.07K","2.47%"
"02/01/2021","30.32","32.29","34.29","30.32","345.72K","-6.22%"
"01/01/2021","32.33","35.72","36.15","31.84","213.44K","-8.00%"
"12/01/2020","35.13","31.37","35.69","31.37","588.06K","13.63%"
"11/01/2020","30.92","24.89","31.68","24.83","157.12K","23.61%"
"10/01/2020","25.01","25.85","27.78","24.87","131.91K","-1.71%"
"09/01/2020","25.45","27.74","28.99","25.06","71.81K","-8.57%"
"08/01/2020","27.83","29.97","30.11","26.69","210.43K","-8.10%"
"07/01/2020","30.29","26.50","31.07","26.26","92.98K","14.37%"
"06/01/2020","26.49","25.09","30.48","25.09","221.67K","10.10%"
"05/01/2020","24.06","21.27","25.50","19.82","135.55K","5.32%"
"04/01/2020","22.84","20.60","24.00","19.32","97.24K","2.72%"
