"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","74.15","77.66","77.66","74.15","126.92K","-3.51%"
"06/01/2025","76.85","78.30","79.00","75.70","178.30K","-1.85%"
"05/01/2025","78.30","77.78","79.99","75.21","260.86K","1.08%"
"04/01/2025","77.46","75.86","78.42","72.75","208.79K","2.26%"
"03/01/2025","75.75","72.49","77.40","71.10","138.53K","4.50%"
"02/01/2025","72.49","76.03","76.97","71.45","216.87K","-4.32%"
"01/01/2025","75.76","77.03","78.84","73.50","137.64K","-1.53%"
"12/01/2024","76.94","75.84","79.44","75.77","156.87K","1.80%"
"11/01/2024","75.58","76.06","77.83","73.60","186.27K","-0.75%"
"10/01/2024","76.15","77.75","78.00","74.50","194.45K","-0.46%"
"09/01/2024","76.50","76.35","80.00","75.67","140.09K","0.39%"
"08/01/2024","76.20","79.99","80.00","75.29","207.71K","-4.07%"
"07/01/2024","79.43","76.45","79.59","74.80","167.49K","4.03%"
"06/01/2024","76.35","74.51","76.90","70.40","202.92K","5.28%"
"05/01/2024","72.52","74.00","74.78","70.45","155.12K","-1.73%"
"04/01/2024","73.80","73.05","75.00","72.01","178.47K","1.12%"
"03/01/2024","72.98","72.70","74.45","71.02","238.67K","0.52%"
"02/01/2024","72.60","71.33","74.00","71.00","247.77K","2.50%"
"01/01/2024","70.83","68.49","72.89","67.85","97.20K","3.80%"
"12/01/2023","68.24","65.99","69.90","65.81","129.81K","3.88%"
"11/01/2023","65.69","65.58","67.00","64.83","45.40K","0.34%"
"10/01/2023","65.47","67.50","67.98","64.80","48.49K","-1.03%"
"09/01/2023","66.15","66.11","69.56","65.62","62.36K","0.08%"
"08/01/2023","66.10","65.44","67.69","64.31","99.14K","1.21%"
"07/01/2023","65.31","65.00","65.81","62.72","60.73K","2.22%"
"06/01/2023","63.89","63.89","65.66","61.50","73.29K","-0.05%"
"05/01/2023","63.92","61.58","64.22","60.61","63.18K","3.80%"
"04/01/2023","61.58","59.03","61.79","58.38","13.80K","5.64%"
"03/01/2023","58.29","58.69","61.60","57.50","18.46K","0.31%"
"02/01/2023","58.11","58.03","59.05","55.70","32.43K","2.13%"
"01/01/2023","56.90","60.69","61.20","56.85","36.18K","-5.92%"
"12/01/2022","60.48","63.15","63.96","59.90","73.78K","-4.20%"
"11/01/2022","63.13","63.00","65.29","61.47","108.47K","0.51%"
"10/01/2022","62.81","59.60","63.75","59.60","40.48K","6.01%"
"09/01/2022","59.25","60.00","62.42","58.58","23.80K","0.08%"
"08/01/2022","59.20","58.00","60.81","57.78","24.78K","2.64%"
"07/01/2022","57.68","53.58","57.68","53.58","26.34K","5.93%"
"06/01/2022","54.45","58.12","58.59","54.38","32.66K","-6.67%"
"05/01/2022","58.34","61.64","61.64","57.29","39.78K","-5.37%"
"04/01/2022","61.65","60.00","61.92","58.45","23.29K","2.44%"
"03/01/2022","60.18","60.96","61.30","54.00","51.71K","1.31%"
"02/01/2022","59.40","64.40","66.51","59.40","35.33K","-7.76%"
"01/01/2022","64.40","63.08","66.35","61.40","33.09K","3.54%"
"12/01/2021","62.20","63.57","64.00","60.10","61.05K","-1.18%"
"11/01/2021","62.94","61.20","65.00","61.00","80.56K","2.88%"
"10/01/2021","61.18","65.04","65.04","60.44","88.79K","-4.73%"
"09/01/2021","64.22","62.75","65.37","62.10","29.81K","3.58%"
"08/01/2021","62.00","57.80","62.62","57.19","51.33K","9.44%"
"07/01/2021","56.65","55.95","58.00","55.52","17.14K","1.74%"
"06/01/2021","55.68","54.75","56.85","54.10","9.02K","2.60%"
"05/01/2021","54.27","51.05","54.60","50.02","43.71K","6.33%"
"04/01/2021","51.04","53.25","53.35","47.90","54.90K","-3.15%"
"03/01/2021","52.70","50.90","54.11","50.90","41.17K","2.73%"
"02/01/2021","51.30","48.90","54.00","48.50","32.23K","3.22%"
"01/01/2021","49.70","49.89","51.94","49.11","19.95K","-0.38%"
"12/01/2020","49.89","47.83","50.18","47.51","7.74K","4.81%"
"11/01/2020","47.60","45.65","49.00","45.27","16.00K","4.36%"
"10/01/2020","45.61","43.90","46.99","43.90","11.27K","4.42%"
"09/01/2020","43.68","43.58","44.00","42.47","11.58K","-0.73%"
"08/01/2020","44.00","42.00","44.26","41.62","3.97K","3.36%"
"07/01/2020","42.57","40.30","43.25","40.30","7.67K","5.63%"
"06/01/2020","40.30","39.24","40.30","37.50","8.60K","5.58%"
"05/01/2020","38.17","40.05","40.05","36.32","35.58K","-6.63%"
"04/01/2020","40.88","37.40","40.90","35.90","7.00K","10.49%"
"03/01/2020","37.00","48.37","49.07","34.00","58.95K","-25.25%"
"02/01/2020","49.50","50.50","51.97","49.50","13.66K","-3.57%"
"01/01/2020","51.33","49.80","51.72","48.95","16.90K","2.66%"
"12/01/2019","50.00","50.71","51.30","49.76","30.78K","-1.75%"
"11/01/2019","50.89","49.67","51.38","49.35","8.57K","1.86%"
"10/01/2019","49.96","49.60","49.96","47.50","12.50K","1.17%"
"09/01/2019","49.38","47.00","50.27","45.60","32.31K","4.91%"
"08/01/2019","47.07","48.17","48.17","45.49","12.86K","-1.96%"
"07/01/2019","48.01","50.35","51.09","48.00","82.07K","-4.89%"
