"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","745.63","765.40","772.19","737.12","","-2.55%"
"10/01/2025","765.14","738.42","777.29","731.45","","3.59%"
"09/01/2025","738.65","701.88","746.78","699.84","","5.26%"
"08/01/2025","701.74","690.06","715.52","680.47","","1.62%"
"07/01/2025","690.54","677.77","707.40","676.53","","1.97%"
"06/01/2025","677.19","644.44","683.25","636.79","","5.17%"
"05/01/2025","643.90","614.86","652.44","613.35","","4.69%"
"04/01/2025","615.03","607.59","615.37","537.79","","1.37%"
"03/01/2025","606.74","609.91","632.59","603.80","","-0.51%"
"02/01/2025","609.87","603.23","636.71","593.20","","-0.10%"
"01/01/2025","610.48","607.14","611.73","582.36","0.00K","0.97%"
"12/01/2024","604.64","613.28","633.99","600.60","0.02K","-1.43%"
"11/01/2024","613.39","628.14","648.25","609.38","0.00K","-2.36%"
"10/01/2024","628.21","660.02","673.13","625.87","","-5.01%"
"09/01/2024","661.36","613.95","667.50","592.16","","7.65%"
"08/01/2024","614.37","604.09","617.01","563.30","","1.95%"
"07/01/2024","602.60","602.13","624.31","590.29","","0.02%"
"06/01/2024","602.45","583.99","609.24","583.62","","3.17%"
"05/01/2024","583.92","574.16","609.35","572.73","","1.60%"
"04/01/2024","574.75","572.53","581.97","544.27","","0.47%"
"03/01/2024","572.04","559.44","578.60","558.21","","2.17%"
"02/01/2024","559.89","536.86","817.60","535.32","","4.11%"
"01/01/2024","537.79","563.07","564.82","524.41","","-4.60%"
"12/01/2023","563.74","536.41","564.35","528.52","","4.66%"
"11/01/2023","538.63","502.47","610.33","500.28","","7.36%"
"10/01/2023","501.71","523.47","532.92","497.82","","-4.22%"
"09/01/2023","523.80","538.92","547.73","517.51","","-2.78%"
"08/01/2023","538.76","572.45","575.31","523.54","","-5.95%"
"07/01/2023","572.83","544.23","575.95","534.70","","5.29%"
"06/01/2023","544.04","531.55","568.45","530.15","","2.59%"
"05/01/2023","530.30","543.95","551.85","529.05","","-2.46%"
"04/01/2023","543.67","551.12","559.87","536.25","","-1.50%"
"03/01/2023","551.97","539.62","559.46","525.47","","2.08%"
"02/01/2023","540.74","581.20","592.64","537.91","","-6.75%"
"01/01/2023","579.87","535.35","593.83","527.95","","8.32%"
"12/01/2022","535.35","543.55","552.70","526.85","","-0.55%"
"11/01/2022","538.32","461.85","541.45","461.82","","16.66%"
"10/01/2022","461.44","479.47","502.08","455.13","","-3.82%"
"09/01/2022","479.79","549.71","549.72","477.08","","-12.79%"
"08/01/2022","550.16","551.22","563.32","541.95","","-0.27%"
"07/01/2022","551.65","554.05","556.69","532.71","","-0.25%"
"06/01/2022","553.01","590.58","592.06","544.44","","-6.36%"
"05/01/2022","590.58","591.73","593.87","541.99","","-0.36%"
"04/01/2022","592.71","624.56","637.13","571.79","","-5.21%"
"03/01/2022","625.28","628.89","632.84","564.07","","-0.36%"
