"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2025","411.55","415.55","431.42","408.15","","-1.02%"
"10/01/2025","415.79","414.59","424.72","408.54","","0.46%"
"09/01/2025","413.89","405.97","415.59","397.52","","2.10%"
"08/01/2025","405.39","392.10","415.22","385.12","","3.24%"
"07/01/2025","392.68","403.72","411.85","392.51","","-2.34%"
"06/01/2025","402.09","395.52","404.73","384.99","","2.07%"
"05/01/2025","393.93","377.48","398.94","376.33","","3.75%"
"04/01/2025","379.70","364.33","380.65","322.62","","4.31%"
"03/01/2025","364.02","366.61","387.29","363.06","","-0.64%"
"02/01/2025","366.37","348.33","373.50","341.33","","3.56%"
"01/01/2025","353.79","330.20","355.05","325.30","0.02K","7.31%"
"12/01/2024","329.69","335.70","348.09","323.61","0.02K","-2.31%"
"11/01/2024","337.49","346.58","352.46","327.23","0.01K","-2.62%"
"10/01/2024","346.57","368.01","369.01","344.99","","-6.07%"
"09/01/2024","368.96","367.22","373.98","351.11","","0.42%"
"08/01/2024","367.42","353.40","368.88","330.49","","4.03%"
"07/01/2024","353.19","349.01","363.08","345.14","","1.57%"
"06/01/2024","347.74","356.64","364.44","344.51","","-2.50%"
"05/01/2024","356.65","339.84","362.41","339.13","","4.49%"
"04/01/2024","341.34","353.63","355.35","335.86","","-3.58%"
"03/01/2024","354.03","342.32","358.01","342.32","","3.22%"
"02/01/2024","343.00","334.29","345.58","329.30","","1.92%"
"01/01/2024","336.55","336.37","338.43","321.40","","0.02%"
"12/01/2023","336.49","319.41","339.63","319.21","","5.10%"
