Data,FTSE Developed Europe ex UK
03/2005,10000
04/2005,9755.70162015647
05/2005,10322.389511273732
06/2005,10671.742095712218
07/2005,11161.303776606266
08/2005,11087.151208091831
09/2005,11615.10295373663
10/2005,11330.044220290927
11/2005,11788.371852718445
12/2005,12234.1913299211
01/2006,12690.40641279757
02/2006,13014.034339825977
03/2006,13411.129702701914
04/2006,13494.477003719257
05/2006,12856.164135980427
06/2006,12931.017517579578
07/2006,13117.77249202063
08/2006,13554.098786534414
09/2006,13921.840522110535
10/2006,14366.60905328148
11/2006,14400.026195251303
12/2006,14987.52557910897
01/2007,15361.503040362628
02/2007,15049.014676496041
03/2007,15497.10842954608
04/2007,16285.980879823994
05/2007,16861.173821767235
06/2007,16712.97280375193
07/2007,16170.991511058666
08/2007,16033.68547182699
09/2007,16248.477838250996
10/2007,16628.81213464947
11/2007,16065.087632040533
12/2007,15910.21403840309
01/2008,13965.486132349615
02/2008,13923.627636606803
03/2008,13567.44413004893
04/2008,14353.686159709643
05/2008,14567.429760030775
06/2008,12952.169829072815
07/2008,12783.21089104267
08/2008,12968.863622270761
09/2008,11550.9736304696
10/2008,9895.76258745944
11/2008,9231.161487048603
12/2008,9211.914219265154
01/2009,8652.64495284649
02/2009,7770.620318658388
03/2009,8086.101506048592
04/2009,9336.585486041698
05/2009,9783.75824591919
06/2009,9648.833137956723
07/2009,10609.78252603114
08/2009,11225.929979186089
09/2009,11633.295677956221
10/2009,11240.614082736285
11/2009,11376.178089127598
12/2009,12024.165213954251
01/2010,11605.506097373647
02/2010,11535.865381361036
03/2010,12441.584981490025
04/2010,12258.090879715197
05/2010,11598.650458654667
06/2010,11613.834420667125
07/2010,12189.021076932362
08/2010,11910.32033848872
09/2010,12447.256470392069
10/2010,12786.47413227043
11/2010,12435.432309282482
12/2010,13172.932158488698
01/2011,13560.353234656799
02/2011,13839.586223382543
03/2011,13472.010238786634
04/2011,13997.720556655988
05/2011,13925.609131122501
06/2011,13627.011453616808
07/2011,13037.16104482715
08/2011,11518.094045960244
09/2011,10823.990249051407
10/2011,11690.735075030436
11/2011,11448.338555525046
12/2011,11566.134001442857
01/2012,12114.814450859563
02/2012,12688.36382727015
03/2012,12710.66747064805
04/2012,12279.67151214897
05/2012,11508.652340770928
06/2012,12166.180141634786
07/2012,12671.058267572931
08/2012,13010.813896915066
09/2012,13167.586706395328
10/2012,13323.468657685951
11/2012,13709.322937672334
12/2012,13969.272773192502
01/2013,14502.383787859395
02/2013,14622.58624364684
03/2013,14759.626597620605
04/2013,15132.728667006922
05/2013,15487.122472773935
06/2013,14733.789410153295
07/2013,15548.63321147601
08/2013,15397.872365642788
09/2013,16204.0808686392
10/2013,16891.396427422653
11/2013,17093.545791185818
12/2013,17223.234179515017
01/2014,16967.105787830365
02/2014,17797.821860968303
03/2014,17858.34137277622
04/2014,18050.83220403956
05/2014,18576.06070099372
06/2014,18438.702455714152
07/2014,17931.386413763896
08/2014,18300.40188409908
09/2014,18329.01817528235
10/2014,18136.125987680956
11/2014,18883.896863914946
12/2014,18471.968591752826
01/2015,19892.529458350018
02/2015,21160.11844874435
03/2015,21975.541189800027
04/2015,21789.371100919292
05/2015,22600.528796911072
06/2015,21126.527388985818
07/2015,22108.340872340945
08/2015,20276.62392725397
09/2015,19051.235326509704
10/2015,21002.740070622087
11/2015,21611.529455890675
12/2015,20615.660093297796
01/2016,18864.384184209117
02/2016,18800.45544609388
03/2016,19198.25275385072
04/2016,19530.528039746176
05/2016,20016.176732784705
06/2016,19127.93344755597
07/2016,19916.810095560977
08/2016,20062.039549945075
09/2016,20047.728685028622
10/2016,20029.987681038176
11/2016,20021.34544903118
12/2016,21271.93250354275
01/2017,21302.510541528787
02/2017,21787.59226183823
03/2017,22834.381585494386
04/2017,23403.124061880844
05/2017,23857.714103163475
06/2017,23345.47232570718
07/2017,23370.644756476526
08/2017,23218.587468248865
09/2017,23985.061504106678
10/2017,24575.588199053458
11/2017,24108.92926366334
12/2017,24009.385411476058
01/2018,24649.877408313623
02/2018,23726.777875759082
03/2018,23198.502797560595
04/2018,24148.2761472491
05/2018,23971.88521082582
06/2018,23856.05445656339
07/2018,24855.55745757537
08/2018,24447.893885430007
09/2018,24689.28180148809
10/2018,23042.60420502059
11/2018,22898.985592293397
12/2018,21587.37302265861
01/2019,22898.2606149963
02/2019,23821.38392410484
03/2019,24297.554665375657
04/2019,25348.728228655298
05/2019,24218.70324128152
06/2019,25464.08670432273
07/2019,25525.115560790997
08/2019,25339.64908746368
09/2019,26153.7516662127
10/2019,26424.61412209078
11/2019,27102.394096880584
12/2019,27555.509866060092
01/2020,27343.5362505155
02/2020,25301.5713205136
03/2020,21813.774948020022
04/2020,23256.493438618705
05/2020,24303.957879740694
06/2020,25242.161183066073
07/2020,25117.510546366982
08/2020,25913.142385919404
09/2020,25689.065820530403
10/2020,24303.182222605716
11/2020,27752.958552872737
12/2020,28394.553162913566
01/2021,28101.73114528841
02/2021,28719.2073910857
03/2021,30592.592748876166
04/2021,31322.020154784062
05/2021,32223.252649150483
06/2021,32872.70961087343
07/2021,33616.31176683715
08/2021,34351.336145495545
09/2021,33114.473283266154
10/2021,34684.57081625428
11/2021,33838.983027459275
12/2021,35588.815796115116
01/2022,33862.633113368196
02/2022,31485.250332842494
03/2022,33182.54439906939
04/2022,32200.659395860614
05/2022,32111.644721563734
06/2022,29447.378835799755
07/2022,31387.600052067264
08/2022,30129.8460291427
09/2022,27830.402632056834
10/2022,30060.293209731608
11/2022,32205.824825325224
12/2022,31155.616604168514
