"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2025","519.24","484.50","519.24","484.50","","6.34%"
"07/01/2025","488.29","418.01","509.66","418.01","","16.37%"
"06/01/2025","419.59","409.88","419.59","393.89","","2.65%"
"05/01/2025","408.77","370.18","409.11","369.29","","12.51%"
"04/01/2025","363.31","377.18","378.86","312.79","","-2.74%"
"03/01/2025","373.56","360.40","379.13","357.23","","4.80%"
"02/01/2025","356.44","341.74","357.14","338.78","","3.38%"
"01/01/2025","344.78","348.00","348.00","334.89","","-0.58%"
"12/01/2024","346.79","349.66","357.25","344.97","","-0.80%"
"11/01/2024","349.57","353.86","356.74","340.14","","-2.18%"
"10/01/2024","357.37","368.67","368.67","356.55","","-2.45%"
"09/01/2024","366.33","365.02","367.07","351.94","","0.10%"
"08/01/2024","365.95","349.77","367.60","337.97","","2.27%"
"07/01/2024","357.82","368.30","373.90","354.52","","-2.19%"
"06/01/2024","365.84","384.08","385.32","365.84","","-3.23%"
"05/01/2024","378.06","367.95","388.97","367.95","","3.00%"
"04/01/2024","367.06","398.12","400.72","355.23","","-7.88%"
"03/01/2024","398.45","393.46","401.86","387.16","","1.94%"
"02/01/2024","390.88","364.21","390.88","364.21","","7.32%"
"01/01/2024","364.21","366.75","372.39","362.59","","-0.69%"
"12/01/2023","366.75","353.43","367.99","353.40","","3.77%"
"11/01/2023","353.43","323.50","367.06","323.50","","9.25%"
"10/01/2023","323.50","374.21","377.27","323.50","","-13.55%"
"09/01/2023","374.21","415.24","423.07","367.70","","-9.88%"
"08/01/2023","415.24","409.49","425.98","395.48","","0.96%"
"07/01/2023","411.31","368.91","411.31","368.91","","11.49%"
"06/01/2023","368.91","346.98","374.83","346.98","","6.69%"
"05/01/2023","345.79","334.04","349.04","334.04","","2.17%"
"04/01/2023","338.45","344.97","352.09","332.68","","-1.89%"
"03/01/2023","344.97","329.69","344.97","323.23","","6.03%"
"02/01/2023","325.36","352.55","356.76","322.52","","-11.47%"
"01/01/2023","367.53","345.74","371.84","345.74","","11.00%"
"12/01/2022","331.10","356.63","380.53","322.27","","-9.29%"
"11/01/2022","364.99","351.18","364.99","309.32","","4.56%"
"10/01/2022","349.07","382.50","389.88","341.44","","-12.08%"
"09/01/2022","397.05","450.48","450.48","395.61","","-11.37%"
"08/01/2022","448.00","437.44","457.94","437.44","","5.03%"
"07/01/2022","426.53","433.19","433.19","411.19","","-1.58%"
"06/01/2022","433.36","478.25","478.25","428.03","","-8.92%"
"05/01/2022","475.81","497.76","503.13","437.79","","-6.19%"
"04/01/2022","507.23","562.93","568.11","489.49","","-8.43%"
"03/01/2022","553.95","562.60","571.90","541.17","","-0.77%"
"02/01/2022","558.24","564.10","572.83","553.67","","-0.10%"
"01/01/2022","558.82","605.27","605.49","543.45","","-5.75%"
"12/01/2021","592.89","593.83","593.83","570.52","","-0.06%"
"11/01/2021","593.23","583.02","593.77","572.20","","0.69%"
"10/01/2021","589.19","547.16","589.19","547.16","","6.99%"
"09/01/2021","550.70","551.16","556.75","540.16","","-0.05%"
"08/01/2021","550.98","543.25","567.21","539.56","","1.71%"
"07/01/2021","541.70","582.28","582.28","516.18","","-6.31%"
"06/01/2021","578.19","552.14","578.19","543.03","","6.00%"
"05/01/2021","545.47","522.51","545.47","517.52","","4.64%"
"04/01/2021","521.26","491.66","539.69","491.66","","8.81%"
"03/01/2021","479.06","485.23","485.39","466.31","","0.03%"
"02/01/2021","478.90","430.80","487.11","430.80","","8.03%"
"01/01/2021","443.32","452.41","495.30","424.59","","-2.01%"
"12/01/2020","452.41","415.53","452.41","415.53","","9.71%"
"11/01/2020","412.38","390.22","416.99","390.22","","5.68%"
"10/01/2020","390.22","366.69","388.51","366.69","","6.42%"
"09/01/2020","366.69","357.41","366.69","357.41","","2.60%"
"08/01/2020","357.41","339.71","357.41","339.71","","7.42%"
"07/01/2020","332.73","349.23","361.20","325.92","","-2.58%"
"06/01/2020","341.55","362.10","362.10","341.55","","-4.43%"
"05/01/2020","357.40","313.02","313.02","313.02","","13.46%"
"04/01/2020","314.99","279.81","279.81","279.81","","15.01%"
"03/01/2020","273.89","296.92","296.92","296.92","","-21.97%"
"02/01/2020","351.00","351.00","351.00","351.00","","-5.77%"
"01/01/2020","372.48","372.48","372.48","372.48","","-3.80%"
"12/01/2019","387.21","387.21","387.21","387.21","","-3.46%"
"11/01/2019","401.08","401.08","401.08","401.08","","-1.33%"
"10/01/2019","406.50","406.50","406.50","406.50","","-0.70%"
"09/01/2019","409.38","409.38","409.38","409.38","","1.18%"
"08/01/2019","404.60","404.60","404.60","404.60","","-1.46%"
"07/01/2019","410.59","410.59","410.59","410.59","","3.17%"
"06/01/2019","397.96","397.96","397.96","397.96","","-2.16%"
"05/01/2019","406.73","406.73","406.73","406.73","","-2.60%"
"04/01/2019","417.57","417.57","417.57","417.57","","0.48%"
"03/01/2019","415.57","415.57","415.57","415.57","","0.06%"
"02/01/2019","415.34","415.34","415.34","415.34","","9.46%"
"01/01/2019","379.46","379.46","379.46","379.46","","3.38%"
"12/01/2018","367.07","367.07","367.07","367.07","","-5.59%"
"11/01/2018","388.82","388.82","388.82","388.82","","1.92%"
"10/01/2018","381.49","381.49","381.49","381.49","","-10.73%"
"09/01/2018","427.33","427.33","427.33","427.33","","2.76%"
"08/01/2018","415.86","415.86","415.86","415.86","","2.38%"
"07/01/2018","406.19","406.19","406.19","406.19","","1.75%"
"06/01/2018","399.22","399.22","399.22","399.22","","-1.25%"
"05/01/2018","404.28","404.28","404.28","404.28","","-8.15%"
"04/01/2018","440.15","440.15","440.15","440.15","","-9.41%"
"03/01/2018","485.88","485.88","485.88","485.88","","4.43%"
"02/01/2018","465.28","465.28","465.28","465.28","","0.56%"
"01/01/2018","462.70","462.70","462.70","462.70","","13.88%"
"12/01/2017","406.29","406.29","406.29","406.29","","8.72%"
"11/01/2017","373.72","373.72","373.72","373.72","","12.03%"
"10/01/2017","333.58","333.58","333.58","333.58","","4.72%"
"09/01/2017","318.55","318.55","318.55","318.55","","2.73%"
"08/01/2017","310.07","310.07","310.07","310.07","","2.98%"
"07/01/2017","301.10","301.10","301.10","301.10","","0.04%"
"06/01/2017","300.97","300.97","300.97","300.97","","2.08%"
"05/01/2017","294.84","294.84","294.84","294.84","","-0.15%"
"04/01/2017","295.27","295.27","295.27","295.27","","-2.21%"
"03/01/2017","301.95","301.95","301.95","301.95","","4.42%"
"02/01/2017","289.16","289.16","289.16","289.16","","2.92%"
"01/01/2017","280.95","280.95","280.95","280.95","","1.21%"
"12/01/2016","277.60","277.60","277.60","277.60","","-2.55%"
"11/01/2016","284.87","284.87","284.87","284.87","","-2.64%"
"10/01/2016","292.58","292.58","292.58","292.58","","-4.10%"
"09/01/2016","305.08","305.08","305.08","305.08","","1.27%"
"08/01/2016","301.25","301.25","301.25","301.25","","0.78%"
"07/01/2016","298.92","298.92","298.92","298.92","","2.04%"
"06/01/2016","292.94","292.94","292.94","292.94","","1.53%"
"05/01/2016","288.53","288.53","288.53","288.53","","1.61%"
"04/01/2016","283.95","283.95","283.95","283.95","","6.44%"
"03/01/2016","266.76","266.76","266.76","266.76","","-0.27%"
"02/01/2016","267.47","267.47","267.47","267.47","","0.02%"
"01/01/2016","267.41","267.41","267.41","267.41","","-5.12%"
"12/01/2015","281.85","281.85","281.85","281.85","","1.10%"
"11/01/2015","278.79","278.79","278.79","278.79","","-6.79%"
"10/01/2015","299.11","299.11","299.11","299.11","","6.18%"
"09/01/2015","281.70","281.70","281.70","281.70","","-4.25%"
"08/01/2015","294.21","294.21","294.21","294.21","","-8.15%"
"07/01/2015","320.32","320.32","320.32","320.32","","4.61%"
"06/01/2015","306.21","306.21","306.21","306.21","","5.18%"
"05/01/2015","291.13","291.13","291.13","291.13","","-0.81%"
"04/01/2015","293.51","293.51","293.51","293.51","","2.95%"
"03/01/2015","285.09","285.09","285.09","285.09","","-8.87%"
"02/01/2015","312.85","312.85","312.85","312.85","","2.18%"
"01/01/2015","306.19","306.19","306.19","306.19","","-2.41%"
"12/01/2014","313.74","313.74","313.74","313.74","","-3.53%"
"11/01/2014","325.22","325.22","325.22","325.22","","-4.30%"
"10/01/2014","339.83","339.83","339.83","339.83","","-0.31%"
"09/01/2014","340.88","340.88","340.88","340.88","","-4.70%"
"08/01/2014","357.70","357.70","357.70","357.70","","7.69%"
"07/01/2014","332.15","332.15","332.15","332.15","","3.85%"
"06/01/2014","319.84","319.84","319.84","319.84","","-1.39%"
"05/01/2014","324.34","324.34","324.34","324.34","","0.13%"
"04/01/2014","323.92","323.92","323.92","323.92","","-5.94%"
"03/01/2014","344.37","344.37","344.37","344.37","","0.12%"
"02/01/2014","343.97","343.97","343.97","343.97","","7.58%"
"01/01/2014","319.74","319.74","319.74","319.74","","11.06%"
"12/01/2013","287.91","287.91","287.91","287.91","","-0.92%"
"11/01/2013","290.58","290.58","290.58","290.58","","2.67%"
"10/01/2013","283.03","283.03","283.03","283.03","","3.09%"
"09/01/2013","274.54","274.54","274.54","274.54","","3.97%"
"08/01/2013","264.06","264.06","264.06","264.06","","-1.61%"
"07/01/2013","268.38","268.38","268.38","268.38","","-0.35%"
"06/01/2013","269.32","269.32","269.32","269.32","","-12.68%"
"05/01/2013","308.42","308.42","308.42","308.42","","10.59%"
"04/01/2013","278.88","278.88","278.88","278.88","","-6.44%"
"03/01/2013","298.09","298.09","298.09","298.09","","0.23%"
"02/01/2013","297.41","297.41","297.41","297.41","","-4.39%"
"01/01/2013","311.05","311.05","311.05","311.05","","21.64%"
"12/01/2012","255.71","255.71","255.71","255.71","","12.57%"
"11/01/2012","227.15","227.15","227.15","227.15","","-4.03%"
"10/01/2012","236.68","236.68","236.68","236.68","","-1.93%"
"09/01/2012","241.33","241.33","241.33","241.33","","-6.33%"
"08/01/2012","257.65","257.65","257.65","257.65","","-6.88%"
"07/01/2012","276.68","276.68","276.68","276.68","","-2.84%"
"06/01/2012","284.77","284.77","284.77","284.77","","-2.15%"
"05/01/2012","291.02","291.02","291.02","291.02","","-8.76%"
"04/01/2012","318.97","318.97","318.97","318.97","","10.91%"
"03/01/2012","287.60","287.60","287.60","287.60","","1.43%"
"02/01/2012","283.54","283.54","283.54","283.54","","11.06%"
"01/01/2012","255.31","255.31","255.31","255.31","","12.46%"
"12/01/2011","227.03","227.03","227.03","227.03","","-9.10%"
"11/01/2011","249.76","249.76","249.76","249.76","","-15.26%"
"10/01/2011","294.74","294.74","294.74","294.74","","-2.25%"
"09/01/2011","301.51","301.51","301.51","301.51","","-8.56%"
"08/01/2011","329.74","329.74","329.74","329.74","","1.61%"
"07/01/2011","324.52","324.52","324.52","324.52","","-7.29%"
"06/01/2011","350.05","350.05","350.05","350.05","","4.55%"
"05/01/2011","334.80","334.80","334.80","334.80","","-13.37%"
"04/01/2011","386.45","386.45","386.45","386.45","","-2.52%"
"03/01/2011","396.42","396.42","396.42","396.42","","-0.87%"
"02/01/2011","399.88","399.88","399.88","399.88","","-12.04%"
"01/01/2011","454.63","454.63","454.63","454.63","","4.71%"
"12/01/2010","434.18","434.18","434.18","434.18","","6.85%"
"11/01/2010","406.35","406.35","406.35","406.35","","-0.66%"
"10/01/2010","409.04","409.04","409.04","409.04","","0.25%"
"09/01/2010","408.01","408.01","408.01","408.01","","-4.38%"
"08/01/2010","426.72","426.72","426.72","426.72","","-6.11%"
"07/01/2010","454.50","454.50","454.50","454.50","","-4.41%"
"06/01/2010","475.47","475.47","475.47","475.47","","1.14%"
"05/01/2010","470.10","470.10","470.10","470.10","","-6.13%"
"04/01/2010","500.82","500.82","500.82","500.82","","6.70%"
"03/01/2010","469.37","469.37","469.37","469.37","","-0.21%"
"02/01/2010","470.38","470.38","470.38","470.38","","0.87%"
"01/01/2010","466.33","466.33","466.33","466.33","","-4.48%"
"12/01/2009","488.20","488.20","488.20","488.20","","-7.23%"
"11/01/2009","526.25","526.25","526.25","526.25","","-7.44%"
"10/01/2009","568.58","568.58","568.58","568.58","","2.10%"
"09/01/2009","556.87","556.87","556.87","556.87","","0.60%"
"08/01/2009","553.54","553.54","553.54","553.54","","16.16%"
"07/01/2009","476.55","476.55","476.55","476.55","","7.25%"
"06/01/2009","444.34","444.34","444.34","444.34","","3.82%"
"05/01/2009","427.98","427.98","427.98","427.98","","29.55%"
"04/01/2009","330.36","330.36","330.36","330.36","","14.61%"
"03/01/2009","288.25","288.25","288.25","288.25","","16.59%"
"02/01/2009","247.24","247.24","247.24","247.24","","-21.72%"
"01/01/2009","315.85","315.85","315.85","315.85","","-5.42%"
"12/01/2008","333.96","333.96","333.96","333.96","","-3.24%"
"11/01/2008","345.13","345.13","345.13","345.13","","-6.13%"
"10/01/2008","367.65","367.65","367.65","367.65","","-26.54%"
"09/01/2008","500.51","500.51","500.51","500.51","","-15.48%"
"08/01/2008","592.15","592.15","592.15","592.15","","16.87%"
"07/01/2008","506.67","506.67","506.67","506.67","","19.10%"
"06/01/2008","425.41","425.41","425.41","425.41","","-0.61%"
"05/01/2008","428.02","428.02","428.02","428.02","","-21.04%"
"04/01/2008","542.07","542.07","542.07","542.07","","1.98%"
"03/01/2008","531.57","531.57","531.57","531.57","","-22.19%"
"02/01/2008","683.16","683.16","683.16","683.16","","-22.13%"
"01/01/2008","877.32","877.32","877.32","877.32","","-8.92%"
"12/01/2007","963.20","963.20","963.20","963.20","","-2.72%"
"11/01/2007","990.17","990.17","990.17","990.17","","-8.42%"
"10/01/2007","1,081.16","1,081.16","1,081.16","1,081.16","","-0.39%"
