"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2025","593.34","587.45","602.54","581.59","","1.10%"
"06/01/2025","586.86","588.79","594.19","573.62","","-0.69%"
"05/01/2025","590.91","566.33","595.25","565.12","","5.04%"
"04/01/2025","562.54","558.47","563.01","485.39","","1.17%"
"03/01/2025","556.03","573.18","580.98","553.29","","-2.99%"
"02/01/2025","573.16","554.00","578.32","548.96","","2.53%"
"01/01/2025","559.04","534.21","560.81","523.33","","5.39%"
"12/01/2024","530.47","536.31","550.66","521.78","","-1.17%"
"11/01/2024","536.76","527.81","542.92","522.10","","1.76%"
"10/01/2024","527.48","550.81","553.18","525.44","","-4.13%"
"09/01/2024","550.23","542.94","557.48","528.18","","1.29%"
"08/01/2024","543.20","538.61","544.69","498.42","","0.75%"
"07/01/2024","539.18","527.06","544.61","521.39","","2.86%"
"06/01/2024","524.17","548.06","550.81","523.25","","-3.89%"
"05/01/2024","545.39","526.44","554.60","525.17","","3.59%"
"04/01/2024","526.48","533.89","536.73","516.02","","-1.36%"
"03/01/2024","533.74","514.50","534.37","510.57","","3.94%"
"02/01/2024","513.53","511.28","518.38","501.45","","0.15%"
"01/01/2024","512.75","519.74","523.06","495.40","","-1.18%"
"12/01/2023","518.86","495.59","522.16","495.59","","4.83%"
"11/01/2023","494.95","456.76","496.38","454.82","","8.57%"
"10/01/2023","455.87","476.95","479.74","445.46","","-4.30%"
"09/01/2023","476.36","492.21","495.90","468.05","","-3.28%"
"08/01/2023","492.52","507.71","507.71","476.31","","-3.05%"
"07/01/2023","507.99","488.51","511.78","473.65","","3.96%"
"06/01/2023","488.65","483.42","500.35","474.87","","1.15%"
"05/01/2023","483.08","502.07","503.48","482.32","","-3.81%"
"04/01/2023","502.21","495.44","505.47","486.85","","1.39%"
"03/01/2023","495.33","508.08","513.80","463.14","","-2.61%"
"02/01/2023","508.58","501.58","515.41","499.55","","1.46%"
"01/01/2023","501.25","462.58","506.12","462.58","","8.62%"
"12/01/2022","461.46","475.26","485.23","455.08","","-2.39%"
"11/01/2022","472.74","442.82","479.58","433.58","","7.19%"
"10/01/2022","441.04","412.57","443.08","402.73","","6.44%"
"09/01/2022","414.37","457.19","474.86","402.77","","-9.61%"
"08/01/2022","458.42","491.01","500.48","458.41","","-6.72%"
"07/01/2022","491.44","452.87","492.15","447.02","","8.07%"
"06/01/2022","454.76","506.64","509.72","450.65","","-10.13%"
"05/01/2022","506.03","515.32","516.75","476.88","","-2.23%"
"04/01/2022","517.57","530.66","540.32","503.25","","-2.32%"
"03/01/2022","529.88","531.93","541.98","466.63","","-0.48%"
"02/01/2022","532.44","560.13","570.15","509.60","","-4.54%"
"01/01/2022","557.75","588.20","597.85","541.61","","-5.23%"
"12/01/2021","588.51","562.09","589.81","553.87","","5.00%"
"11/01/2021","560.47","581.09","596.81","557.39","","-3.48%"
"10/01/2021","580.66","563.33","585.29","556.06","","2.28%"
"09/01/2021","567.69","590.11","596.12","563.89","","-3.62%"
"08/01/2021","589.04","581.49","596.42","580.30","","1.50%"
"07/01/2021","580.33","567.06","584.19","553.17","","2.53%"
"06/01/2021","566.00","563.53","576.78","558.53","","0.60%"
"05/01/2021","562.60","551.41","565.06","540.65","","2.06%"
"04/01/2021","551.26","545.23","564.80","545.23","","1.17%"
"03/01/2021","544.87","519.29","548.88","518.14","","5.85%"
"02/01/2021","514.77","501.29","532.56","501.29","","3.06%"
"01/01/2021","499.47","505.44","520.72","492.75","","-0.94%"
"12/01/2020","504.20","485.43","508.22","478.78","","4.05%"
"11/01/2020","484.57","420.45","490.48","417.34","","15.39%"
"10/01/2020","419.93","436.82","455.89","414.39","","-3.65%"
"09/01/2020","435.86","442.29","450.06","420.97","","-1.29%"
"08/01/2020","441.54","425.54","452.97","423.28","","3.79%"
"07/01/2020","425.43","427.98","451.94","422.91","","-0.44%"
