"Date","Price","Open","High","Low","Vol.","Change %"
"01/07/2025","67.05","64.66","67.90","64.22","36.03K","5.03%"
"01/06/2025","63.84","60.20","65.23","59.65","71.45K","6.15%"
"01/05/2025","60.14","57.90","63.34","57.84","87.85K","11.33%"
"01/04/2025","54.02","57.37","58.12","46.50","65.67K","-4.63%"
"01/03/2025","56.64","63.98","63.98","55.94","72.76K","-10.66%"
"01/02/2025","63.40","64.80","66.71","62.67","53.32K","-3.75%"
"01/01/2025","65.87","64.82","68.08","62.00","91.19K","1.23%"
"01/12/2024","65.07","64.38","66.78","64.07","75.64K","3.02%"
"01/11/2024","63.16","63.55","66.57","62.10","71.03K","1.06%"
"01/10/2024","62.50","60.80","66.46","59.91","82.72K","3.77%"
"01/09/2024","60.23","60.25","63.42","56.32","70.30K","0.08%"
"01/08/2024","60.18","61.19","61.31","50.57","71.46K","-1.49%"
"01/07/2024","61.09","62.83","66.72","58.79","82.69K","-3.43%"
"01/06/2024","63.26","57.77","64.74","56.34","8.37K","12.02%"
"01/05/2024","56.47","54.09","59.47","54.07","74.05K","4.15%"
"01/04/2024","54.22","56.50","56.64","52.03","65.13K","-1.69%"
"01/03/2024","55.15","51.95","55.28","51.77","0.35K","6.32%"
"01/02/2024","51.87","49.85","53.06","49.52","72.02K","4.10%"
"01/01/2024","49.83","49.19","50.47","46.42","70.47K","0.37%"
"01/12/2023","49.64","47.23","49.64","46.94","75.79K","4.91%"
"01/11/2023","47.31","43.60","47.72","43.60","81.42K","8.87%"
"01/10/2023","43.46","45.13","46.14","43.18","110.48K","-2.97%"
"01/09/2023","44.79","44.92","46.24","44.07","81.99K","0.08%"
"01/08/2023","44.76","46.62","46.65","43.92","104.59K","-3.27%"
"01/07/2023","46.27","46.90","47.26","44.75","83.54K","-0.09%"
"01/06/2023","46.31","46.27","48.59","46.00","77.28K","0.38%"
"01/05/2023","46.13","42.60","47.26","42.19","38.89K","9.07%"
"01/04/2023","42.30","44.65","44.87","41.60","70.89K","-5.35%"
"01/03/2023","44.69","44.63","45.37","43.24","42.84K","1.52%"
"01/02/2023","44.02","44.24","45.41","43.85","41.67K","0.36%"
"01/01/2023","43.86","40.19","44.80","40.01","91.99K","9.69%"
