isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
BE0000351602;MOT;02/01/2023;03/01/2023;RP;87,73;0;0;0;
BE0000351602;MOT;03/01/2023;04/01/2023;RP;87,85;0;0;0;
BE0000351602;MOT;04/01/2023;05/01/2023;RP;88,31;0;0;0;
BE0000351602;MOT;05/01/2023;06/01/2023;RP;88,24;0;0;0;
BE0000351602;MOT;06/01/2023;09/01/2023;RP;88,58;0;0;0;
BE0000351602;MOT;09/01/2023;10/01/2023;RP;88,51;0;0;0;
BE0000351602;MOT;10/01/2023;11/01/2023;RP;88,4;0;0;0;
BE0000351602;MOT;11/01/2023;12/01/2023;RP;88,77;0;0;0;
BE0000351602;MOT;12/01/2023;13/01/2023;RP;89,05;0;0;0;
BE0000351602;MOT;13/01/2023;16/01/2023;RP;89,12;0;0;0;
BE0000351602;MOT;16/01/2023;17/01/2023;RP;88,96;0;0;0;
BE0000351602;MOT;17/01/2023;18/01/2023;RP;89,25;0;0;0;
BE0000351602;MOT;18/01/2023;19/01/2023;RP;89,71;0;0;0;
BE0000351602;MOT;19/01/2023;20/01/2023;RP;89,43;0;0;0;
BE0000351602;MOT;20/01/2023;23/01/2023;RP;89,13;0;0;0;
BE0000351602;MOT;23/01/2023;24/01/2023;RP;88,84;0;0;0;
BE0000351602;MOT;24/01/2023;25/01/2023;RP;88,95;0;0;0;
BE0000351602;MOT;25/01/2023;26/01/2023;RP;89,13;0;0;0;
BE0000351602;MOT;26/01/2023;27/01/2023;RP;88,93;0;0;0;
BE0000351602;MOT;27/01/2023;30/01/2023;RP;88,73;0;0;0;
BE0000351602;MOT;30/01/2023;31/01/2023;RP;88,45;0;0;0;
BE0000351602;MOT;31/01/2023;03/02/2023;RP;88,62;0;0;0;
BE0000351602;MOT;03/02/2023;06/02/2023;LP;89,34;1000;89,34;89,34;
BE0000351602;MOT;06/02/2023;07/02/2023;LP;89,15;50000;89,15;89,15;
BE0000351602;MOT;07/02/2023;08/02/2023;RP;88,74;0;0;0;
BE0000351602;MOT;08/02/2023;09/02/2023;LP;88,58;6000;88,58;88,58;
BE0000351602;MOT;09/02/2023;10/02/2023;RP;88,73;0;0;0;
BE0000351602;MOT;10/02/2023;13/02/2023;LP;88,67;6000;88,67;88,8;
BE0000351602;MOT;13/02/2023;14/02/2023;LP;88,51;24000;88,35;88,87;
BE0000351602;MOT;14/02/2023;15/02/2023;RP;88,22;0;0;0;
BE0000351602;MOT;15/02/2023;16/02/2023;LP;88;26000;88;88,39;
BE0000351602;MOT;16/02/2023;17/02/2023;RP;87,78;0;0;0;
BE0000351602;MOT;17/02/2023;20/02/2023;RP;87,87;0;0;0;
BE0000351602;MOT;20/02/2023;21/02/2023;RP;87,92;0;0;0;
BE0000351602;MOT;21/02/2023;22/02/2023;RP;87,51;0;0;0;
BE0000351602;MOT;22/02/2023;23/02/2023;LP;87,5;15000;87,5;87,5;
BE0000351602;MOT;23/02/2023;24/02/2023;RP;87,62;0;0;0;
BE0000351602;MOT;24/02/2023;27/02/2023;LP;87,58;8000;87,58;87,58;
BE0000351602;MOT;27/02/2023;28/02/2023;RP;87,33;0;0;0;
BE0000351602;MOT;28/02/2023;01/03/2023;RP;87,13;0;0;0;
BE0000351602;MOT;01/03/2023;02/03/2023;RP;86,76;0;0;0;
BE0000351602;MOT;02/03/2023;03/03/2023;RP;86,66;0;0;0;
BE0000351602;MOT;03/03/2023;06/03/2023;RP;86,66;0;0;0;
BE0000351602;MOT;06/03/2023;07/03/2023;RP;86,44;0;0;0;
BE0000351602;MOT;07/03/2023;08/03/2023;RP;86,42;0;0;0;
BE0000351602;MOT;08/03/2023;09/03/2023;RP;86,6;0;0;0;
