"Date","Price","Open","High","Low","Change %"
"03/27/2026","92.220","92.190","92.220","91.920","-0.03%"
"03/26/2026","92.250","92.350","92.410","92.250","-0.31%"
"03/25/2026","92.540","92.600","92.600","92.500","0.04%"
"03/24/2026","92.500","92.410","92.500","92.410","0.74%"
"03/23/2026","91.820","92.000","92.000","91.820","-0.43%"
"03/20/2026","92.220","92.600","92.600","92.220","-0.52%"
"03/19/2026","92.700","92.700","92.700","92.700","-0.27%"
"03/18/2026","92.950","93.000","93.000","92.890","-0.13%"
"03/17/2026","93.070","92.920","93.070","92.920","-0.02%"
"03/16/2026","93.090","92.840","93.090","92.830","0.37%"
"03/13/2026","92.750","92.780","93.050","92.750","-0.06%"
"03/12/2026","92.810","93.050","93.100","92.810","-0.24%"
"03/11/2026","93.030","93.280","93.280","93.030","-0.57%"
"03/10/2026","93.560","93.610","93.760","93.290","0.65%"
"03/09/2026","92.960","92.740","92.960","92.610","-0.36%"
"03/06/2026","93.300","93.130","93.450","93.000","-0.11%"
"03/05/2026","93.400","93.610","93.640","93.400","-0.46%"
"03/04/2026","93.830","93.840","93.840","93.830","0.25%"
"03/03/2026","93.600","93.960","93.960","93.430","-0.43%"
"03/02/2026","94.000","94.190","94.190","93.960","-0.16%"
"02/26/2026","94.150","94.100","94.150","94.020","0.07%"
"02/25/2026","94.080","94.070","94.080","94.070","0.11%"
"02/24/2026","93.980","94.050","94.100","93.980","-0.04%"
"02/23/2026","94.020","94.020","94.020","94.020","0.00%"
"02/20/2026","94.020","94.040","94.040","94.000","0.03%"
"02/19/2026","93.990","93.920","93.990","93.850","-0.01%"
"02/18/2026","94.000","93.960","94.000","93.930","0.07%"
"02/17/2026","93.930","93.950","93.980","93.900","0.03%"
"02/16/2026","93.900","93.980","93.980","93.900","-0.05%"
"02/13/2026","93.950","93.930","93.950","93.900","0.02%"
"02/12/2026","93.930","93.850","93.930","93.760","0.09%"
"02/11/2026","93.850","93.850","93.850","93.850","0.12%"
"02/10/2026","93.740","93.760","93.800","93.740","0.01%"
"02/09/2026","93.730","93.700","93.730","93.700","0.03%"
"02/06/2026","93.700","93.740","93.740","93.690","0.01%"
"02/05/2026","93.690","93.640","93.690","93.550","0.13%"
"02/04/2026","93.570","93.550","93.640","93.540","-0.03%"
"02/03/2026","93.600","93.600","93.600","93.500","-0.03%"
"02/02/2026","93.630","93.660","93.660","93.630","-0.01%"
"01/30/2026","93.640","93.690","93.690","93.640","0.01%"
"01/29/2026","93.630","93.630","93.630","93.630","-0.02%"
"01/28/2026","93.650","93.620","93.650","93.620","0.16%"
"01/27/2026","93.500","93.510","93.510","93.500","-0.02%"
"01/26/2026","93.520","93.480","93.520","93.480","0.25%"
"01/23/2026","93.290","93.280","93.290","93.280","-0.15%"
"01/22/2026","93.430","93.450","93.500","93.360","-0.07%"
"01/21/2026","93.500","93.560","93.560","93.500","-0.05%"
"01/20/2026","93.550","93.450","93.550","93.380","0.13%"
"01/19/2026","93.430","93.550","93.550","93.430","-0.03%"
"01/16/2026","93.460","93.500","93.500","93.460","-0.04%"
"01/15/2026","93.500","93.400","93.550","93.390","-0.03%"
"01/14/2026","93.530","93.390","93.530","93.390","0.19%"
"01/13/2026","93.350","93.350","93.350","93.350","-0.04%"
"01/12/2026","93.390","93.400","93.400","93.390","-0.09%"
