isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
ES0000012F43;MOT;13/11/2023;;LP;85,2;56000;84,99;85,39;
ES0000012F43;MOT;14/11/2023;;LP;85,56;29000;84,84;85,56;
ES0000012F43;MOT;15/11/2023;;LP;85,6;131000;85,6;85,86;
ES0000012F43;MOT;16/11/2023;;LP;85,64;41000;85,64;85,85;
ES0000012F43;MOT;17/11/2023;;LP;85,83;204000;85,83;86,5;
ES0000012F43;MOT;20/11/2023;;LP;85,73;55000;85,73;86,06;
ES0000012F43;MOT;21/11/2023;;LP;85,98;86000;85,86;86;
ES0000012F43;MOT;22/11/2023;;LP;86,04;42000;85,84;86,08;
ES0000012F43;MOT;23/11/2023;;LP;85,61;30000;85,61;86,15;
ES0000012F43;MOT;24/11/2023;;LP;85,51;60000;85,51;85,89;
ES0000012F43;MOT;27/11/2023;;LP;85,91;89000;85,9;85,98;
ES0000012F43;MOT;28/11/2023;;LP;86,36;66000;86,12;86,36;
ES0000012F43;MOT;29/11/2023;;LP;86,82;86000;86,51;86,83;
ES0000012F43;MOT;30/11/2023;;LP;86,51;74000;86,51;86,98;
ES0000012F43;MOT;01/12/2023;;LP;87,19;54000;86,76;87,19;
ES0000012F43;MOT;04/12/2023;;LP;87,3;101000;87,01;87,42;
ES0000012F43;MOT;05/12/2023;;LP;87,87;290000;87,37;88,01;
ES0000012F43;MOT;06/12/2023;;LP;87,96;190000;87,38;88,06;
ES0000012F43;MOT;07/12/2023;;LP;88,04;119000;87,85;88,19;
ES0000012F43;MOT;08/12/2023;;RP;87,58;0;0;0;
ES0000012F43;MOT;11/12/2023;;LP;87,73;127000;87,42;87,77;
ES0000012F43;MOT;12/12/2023;;LP;87,84;168000;87,51;87,88;
ES0000012F43;MOT;13/12/2023;;LP;88,13;56000;87,68;88,15;
ES0000012F43;MOT;14/12/2023;;LP;88,92;130000;88,71;89,05;
ES0000012F43;MOT;15/12/2023;;LP;88,96;168000;88,51;89,1;
ES0000012F43;MOT;18/12/2023;;LP;88,79;292000;88,72;89,1;
ES0000012F43;MOT;19/12/2023;;LP;89,25;106000;88,76;89,25;
ES0000012F43;MOT;20/12/2023;;LP;89,56;373000;89,05;89,56;
ES0000012F43;MOT;21/12/2023;;LP;89,4;125000;89,21;89,4;
ES0000012F43;MOT;22/12/2023;;LP;89,75;145000;89,34;89,75;
ES0000012F43;MOT;27/12/2023;;LP;89,97;168000;89,61;89,97;
ES0000012F43;MOT;28/12/2023;;LP;89,93;99000;89,52;90,01;
ES0000012F43;MOT;29/12/2023;;LP;89,54;42000;89,54;89,74;
ES0000012F43;MOT;02/01/2024;;LP;88,75;69000;88,67;88,93;
ES0000012F43;MOT;03/01/2024;;LP;89,15;157000;88,53;89,23;
ES0000012F43;MOT;04/01/2024;;LP;88,89;105000;88,89;89,05;
ES0000012F43;MOT;05/01/2024;;LP;88,81;164000;88,19;88,81;
ES0000012F43;MOT;08/01/2024;;LP;88,6;44000;88,15;88,6;
ES0000012F43;MOT;09/01/2024;;LP;88,43;104000;88,21;88,47;
ES0000012F43;MOT;10/01/2024;;LP;88,16;82000;88,16;88,63;
ES0000012F43;MOT;11/01/2024;;LP;88,53;57000;88,21;88,6;
ES0000012F43;MOT;12/01/2024;;LP;88,81;69000;88,7;88,81;
ES0000012F43;MOT;15/01/2024;;LP;88,49;154000;88,38;88,62;
ES0000012F43;MOT;16/01/2024;;LP;88,49;139000;88,31;88,79;
ES0000012F43;MOT;17/01/2024;;LP;87,97;221000;87,81;88,38;
ES0000012F43;MOT;18/01/2024;;LP;87,83;114000;87,83;88,15;
ES0000012F43;MOT;19/01/2024;;LP;87,96;96000;87,82;88,05;
ES0000012F43;MOT;22/01/2024;;LP;88,19;20000;87,99;88,19;
ES0000012F43;MOT;23/01/2024;;LP;87,93;68000;87,93;88,17;
ES0000012F43;MOT;24/01/2024;;LP;88,07;204000;87,93;88,1;
ES0000012F43;MOT;25/01/2024;;LP;87,61;187000;87,61;87,91;
ES0000012F43;MOT;26/01/2024;;LP;88,33;148000;88,27;88,64;
ES0000012F43;MOT;29/01/2024;;LP;88,69;27000;88,5;88,7;
ES0000012F43;MOT;30/01/2024;;LP;88,5;69000;88,45;88,69;
ES0000012F43;MOT;31/01/2024;;LP;88,9;217000;88,57;88,9;
ES0000012F43;MOT;01/02/2024;;LP;88,8;180000;88,69;88,91;
ES0000012F43;MOT;02/02/2024;;LP;88,39;268000;88,39;88,7;
ES0000012F43;MOT;05/02/2024;;LP;88,2;93000;88,11;88,84;
ES0000012F43;MOT;06/02/2024;;LP;88,29;230000;88,11;88,36;
ES0000012F43;MOT;07/02/2024;;LP;88,06;136000;88,06;88,37;
ES0000012F43;MOT;08/02/2024;;LP;88,08;30000;88,08;88,15;
ES0000012F43;MOT;09/02/2024;;LP;87,62;29000;87,62;87,8;
ES0000012F43;MOT;12/02/2024;;LP;87,89;314000;87,65;88;
ES0000012F43;MOT;13/02/2024;;LP;87,72;114000;87,71;88,01;
ES0000012F43;MOT;14/02/2024;;LP;87,8;161000;87,72;87,9;
ES0000012F43;MOT;15/02/2024;;LP;88,23;170000;87,95;88,25;
ES0000012F43;MOT;16/02/2024;;LP;87,81;256000;87,71;87,93;
ES0000012F43;MOT;19/02/2024;;LP;87,73;63000;87,73;87,94;
ES0000012F43;MOT;20/02/2024;;LP;87,93;172000;87,75;87,94;
ES0000012F43;MOT;21/02/2024;;LP;87,92;34000;87,75;87,92;
ES0000012F43;MOT;22/02/2024;;LP;88,14;124000;87,43;88,14;
ES0000012F43;MOT;23/02/2024;;LP;87,28;48000;87,28;87,44;
ES0000012F43;MOT;26/02/2024;;LP;87,89;158000;87,81;88,03;
ES0000012F43;MOT;27/02/2024;;LP;87,79;69000;87,6;87,79;
ES0000012F43;MOT;28/02/2024;;LP;87,74;169000;87,35;87,74;
ES0000012F43;MOT;29/02/2024;;LP;87,9;75000;87,28;87,9;
ES0000012F43;MOT;01/03/2024;;LP;87,9;70000;87,49;87,9;
ES0000012F43;MOT;04/03/2024;;LP;87,89;145000;87,69;87,98;
ES0000012F43;MOT;05/03/2024;;LP;88,39;374000;87,95;88,39;
ES0000012F43;MOT;06/03/2024;;LP;88,51;278000;88,13;88,51;
ES0000012F43;MOT;07/03/2024;;LP;88,76;133000;88,12;88,76;
ES0000012F43;MOT;08/03/2024;;LP;89,01;123000;88,73;89,05;
ES0000012F43;MOT;11/03/2024;;LP;88,72;172000;88,72;88,9;
ES0000012F43;MOT;12/03/2024;;LP;88,47;108000;88,47;88,8;
ES0000012F43;MOT;13/03/2024;;LP;88,79;162000;88,55;88,79;
ES0000012F43;MOT;14/03/2024;;LP;88,47;134000;88,44;88,68;
ES0000012F43;MOT;15/03/2024;;LP;88,3;247000;88,03;88,3;
ES0000012F43;MOT;18/03/2024;;LP;88,21;49000;87,95;88,21;
ES0000012F43;MOT;19/03/2024;;LP;88,34;179000;88,09;88,35;
