"Date","Price","Open","High","Low","Change %"
"03/27/2026","94.19","94.37","94.43","94.19","-0.42%"
"03/26/2026","94.59","94.54","94.59","94.50","-0.08%"
"03/25/2026","94.67","94.73","94.73","94.67","0.00%"
"03/24/2026","94.67","94.65","94.68","94.34","-0.21%"
"03/23/2026","94.87","94.46","95.00","94.19","0.43%"
"03/20/2026","94.46","94.80","94.80","94.46","-0.42%"
"03/19/2026","94.86","95.03","95.04","94.69","-0.24%"
"03/18/2026","95.09","95.05","95.09","95.05","-0.15%"
"03/17/2026","95.23","95.16","95.25","95.16","0.06%"
"03/16/2026","95.17","95.11","95.17","95.11","0.13%"
"03/13/2026","95.05","95.13","95.13","94.92","-0.09%"
"03/12/2026","95.14","95.28","95.28","95.14","-0.04%"
"03/11/2026","95.18","95.47","95.47","95.18","-0.26%"
"03/10/2026","95.43","95.55","95.56","95.39","0.14%"
"03/09/2026","95.30","95.33","95.33","95.00","-0.08%"
"03/06/2026","95.38","95.62","95.62","95.38","-0.16%"
"03/05/2026","95.53","95.71","95.80","95.53","-0.28%"
"03/04/2026","95.80","95.60","95.87","95.60","0.23%"
"03/03/2026","95.58","95.85","95.91","95.58","-0.32%"
"03/02/2026","95.89","96.32","96.32","95.89","-0.38%"
"02/27/2026","96.26","96.15","96.26","96.07","0.18%"
"02/26/2026","96.09","96.08","96.09","96.08","0.01%"
"02/25/2026","96.08","96.05","96.08","96.05","0.05%"
"02/24/2026","96.03","96.07","96.08","96.03","-0.02%"
"02/23/2026","96.05","96.10","96.10","96.00","0.06%"
"02/20/2026","95.99","96.01","96.01","95.98","0.03%"
"02/19/2026","95.96","95.95","95.96","95.95","-0.02%"
"02/18/2026","95.98","96.00","96.00","95.96","-0.02%"
"02/17/2026","96.00","96.02","96.02","95.98","0.02%"
"02/16/2026","95.98","95.86","96.04","95.86","-0.01%"
"02/13/2026","95.99","95.95","95.99","95.95","0.06%"
"02/12/2026","95.93","95.86","95.93","95.86","0.03%"
"02/11/2026","95.90","95.90","95.90","95.90","-0.09%"
"02/10/2026","95.99","95.86","95.99","95.85","0.20%"
"02/09/2026","95.80","95.78","95.80","95.78","0.02%"
"02/05/2026","95.78","95.79","95.79","95.74","0.00%"
"02/04/2026","95.78","95.75","95.78","95.74","0.08%"
"02/03/2026","95.70","95.71","95.72","95.65","-0.01%"
"02/02/2026","95.71","95.75","95.76","95.68","-0.07%"
"01/30/2026","95.78","95.75","95.78","95.74","-0.04%"
"01/29/2026","95.82","95.70","95.82","95.70","0.07%"
"01/28/2026","95.75","95.75","95.75","95.73","0.05%"
"01/27/2026","95.70","95.66","95.70","95.62","0.03%"
"01/26/2026","95.67","95.67","95.67","95.67","0.09%"
"01/23/2026","95.58","95.57","95.66","95.57","-0.02%"
"01/22/2026","95.60","95.59","95.64","95.54","0.00%"
"01/21/2026","95.60","95.65","95.65","95.60","0.05%"
"01/20/2026","95.55","95.71","95.71","95.55","-0.08%"
"01/19/2026","95.63","95.64","95.64","95.59","0.10%"
"01/16/2026","95.53","95.56","95.56","95.52","-0.05%"
"01/15/2026","95.58","95.51","95.59","95.50","-0.03%"
"01/14/2026","95.61","95.65","95.65","95.55","0.07%"
"01/13/2026","95.54","95.44","95.54","95.44","0.01%"
"01/12/2026","95.53","95.52","95.53","95.52","-0.05%"
"01/09/2026","95.58","95.48","95.58","95.46","0.13%"
"01/08/2026","95.46","95.47","95.47","95.44","0.00%"
"01/07/2026","95.46","95.45","95.49","95.45","0.01%"
"01/06/2026","95.45","95.36","95.46","95.36","0.14%"
"01/05/2026","95.32","95.31","95.32","95.27","0.06%"
"01/02/2026","95.26","95.38","95.38","95.13","-0.08%"
"12/30/2025","95.34","95.37","95.37","95.34","-0.03%"
"12/29/2025","95.37","95.24","95.37","95.24","0.10%"
"12/23/2025","95.27","95.10","95.27","95.10","0.06%"
"12/22/2025","95.21","95.21","95.23","95.10","-0.01%"
"12/19/2025","95.22","95.30","95.30","95.18","-0.05%"
"12/18/2025","95.27","95.14","95.28","95.14","0.03%"
"12/17/2025","95.24","95.34","95.34","95.24","0.03%"
"12/16/2025","95.21","95.17","95.21","95.15","0.02%"
"12/15/2025","95.19","95.18","95.19","95.15","0.08%"
"12/12/2025","95.11","95.11","95.11","95.11","-0.01%"
"12/11/2025","95.12","95.05","95.12","95.05","0.07%"
"12/10/2025","95.05","95.10","95.10","94.96","0.00%"
"12/09/2025","95.05","95.09","95.13","95.05","-0.08%"
"12/08/2025","95.13","95.39","95.39","95.13","-0.13%"
"12/05/2025","95.25","95.29","95.31","95.25","0.02%"
"12/04/2025","95.23","95.31","95.31","95.23","-0.10%"
"12/03/2025","95.33","95.31","95.35","95.31","0.09%"
"12/02/2025","95.24","95.42","95.42","95.24","-0.08%"
"12/01/2025","95.32","95.50","95.50","95.21","-0.09%"
"11/28/2025","95.41","95.42","95.42","95.40","0.00%"
"11/27/2025","95.41","95.52","95.52","95.40","-0.05%"
"11/26/2025","95.46","95.42","95.46","95.34","-0.06%"
"11/25/2025","95.52","95.39","95.52","95.39","0.15%"
"11/24/2025","95.38","95.37","95.39","95.37","-0.04%"
"11/21/2025","95.42","95.42","95.42","95.42","0.10%"
"11/20/2025","95.32","95.33","95.36","95.32","-0.03%"
"11/19/2025","95.35","95.54","95.54","95.35","0.02%"
"11/18/2025","95.33","95.35","95.35","95.33","0.02%"
"11/17/2025","95.31","95.34","95.34","95.31","-0.07%"
"11/14/2025","95.38","95.35","95.43","95.31","-0.01%"
"11/13/2025","95.39","95.48","95.48","95.38","-0.04%"
"11/12/2025","95.43","95.44","95.44","95.43","0.01%"
"11/11/2025","95.42","95.33","95.42","95.33","0.08%"
"11/10/2025","95.34","95.37","95.37","95.34","-0.02%"
"11/07/2025","95.36","95.37","95.40","95.34","0.01%"
"11/06/2025","95.35","95.55","95.55","95.35","0.01%"
"11/05/2025","95.34","95.41","95.42","95.34","0.00%"
"11/04/2025","95.34","95.49","95.49","95.34","-0.05%"
"11/03/2025","95.39","95.47","95.47","95.37","0.03%"
"10/31/2025","95.36","95.36","95.36","95.36","-0.01%"
"10/30/2025","95.37","95.40","95.40","95.28","-0.03%"
"10/29/2025","95.40","95.42","95.42","95.38","0.01%"
"10/28/2025","95.39","95.36","95.42","95.36","0.03%"
"10/27/2025","95.36","95.39","95.39","95.31","-0.02%"
"10/24/2025","95.38","95.45","95.45","95.38","-0.16%"
"10/23/2025","95.53","95.50","95.53","95.48","0.00%"
"10/22/2025","95.53","95.52","95.59","95.52","-0.02%"
"10/21/2025","95.55","95.75","95.75","95.47","0.05%"
"10/20/2025","95.50","95.53","95.54","95.45","0.03%"
"10/17/2025","95.47","95.60","95.62","95.47","0.01%"
"10/16/2025","95.46","95.52","95.59","95.46","0.06%"
"10/15/2025","95.40","95.37","95.40","95.37","0.01%"
"10/14/2025","95.39","95.43","95.45","95.39","0.07%"
"10/13/2025","95.32","95.42","95.42","95.21","0.11%"
"10/10/2025","95.22","95.22","95.22","95.08","0.17%"
"10/09/2025","95.06","95.13","95.21","95.06","-0.07%"
"10/08/2025","95.13","95.16","95.31","95.13","0.16%"
"10/07/2025","94.98","95.05","95.05","94.98","-0.37%"
"10/06/2025","95.33","95.28","95.33","95.01","0.21%"
"10/03/2025","95.13","95.13","95.13","95.13","0.01%"
"10/02/2025","95.12","95.13","95.13","95.08","-0.01%"
"10/01/2025","95.13","94.98","95.15","94.98","0.03%"
"09/30/2025","95.10","95.26","95.26","94.94","0.06%"
"09/29/2025","95.04","95.02","95.04","94.99","0.02%"
"09/26/2025","95.02","95.03","95.03","95.01","0.02%"
"09/25/2025","95.00","95.00","95.00","95.00","-0.04%"
"09/24/2025","95.04","95.08","95.08","95.04","0.09%"
"09/23/2025","94.95","94.95","94.95","94.95","-0.07%"
"09/22/2025","95.02","95.02","95.07","95.00","-0.03%"
"09/19/2025","95.05","95.17","95.17","95.05","-0.04%"
"09/18/2025","95.09","96.11","96.11","95.09","-0.04%"
"09/17/2025","95.13","95.08","95.15","95.08","0.15%"
"09/16/2025","94.99","94.99","94.99","94.99","-0.11%"
"09/15/2025","95.09","94.79","95.11","94.79","0.08%"
"09/12/2025","95.01","95.09","95.09","95.01","-0.15%"
"09/11/2025","95.15","95.21","95.21","95.15","-0.04%"
"09/10/2025","95.19","95.21","95.28","95.17","0.00%"
"09/09/2025","95.19","94.76","95.20","94.76","-0.05%"
"09/08/2025","95.24","95.15","95.24","95.15","0.13%"
"09/05/2025","95.12","95.31","95.31","95.11","0.07%"
