isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
FR0013341682;MOT;02/01/2023;03/01/2023;RP;89,16;0;0;0;
FR0013341682;MOT;03/01/2023;04/01/2023;LP;89,55;3000;89,55;89,55;
FR0013341682;MOT;04/01/2023;05/01/2023;RP;90,06;0;0;0;
FR0013341682;MOT;05/01/2023;06/01/2023;RP;89,98;0;0;0;
FR0013341682;MOT;06/01/2023;09/01/2023;RP;90,43;0;0;0;
FR0013341682;MOT;09/01/2023;10/01/2023;RP;90,4;0;0;0;
FR0013341682;MOT;10/01/2023;11/01/2023;LP;90,29;9000;90,29;90,29;
FR0013341682;MOT;11/01/2023;12/01/2023;RP;90,5;0;0;0;
FR0013341682;MOT;12/01/2023;13/01/2023;LP;90,86;15000;90,86;90,86;
FR0013341682;MOT;13/01/2023;16/01/2023;RP;90,8;0;0;0;
FR0013341682;MOT;16/01/2023;17/01/2023;RP;90,71;0;0;0;
FR0013341682;MOT;17/01/2023;18/01/2023;RP;91,33;0;0;0;
FR0013341682;MOT;18/01/2023;19/01/2023;RP;91,75;0;0;0;
FR0013341682;MOT;19/01/2023;20/01/2023;RP;91,46;0;0;0;
FR0013341682;MOT;20/01/2023;23/01/2023;LP;91;38000;91;91,27;
FR0013341682;MOT;23/01/2023;24/01/2023;RP;90,74;0;0;0;
FR0013341682;MOT;24/01/2023;25/01/2023;LP;90,98;90000;90,98;90,98;
FR0013341682;MOT;25/01/2023;26/01/2023;RP;90,97;0;0;0;
FR0013341682;MOT;26/01/2023;27/01/2023;RP;90,68;0;0;0;
FR0013341682;MOT;27/01/2023;30/01/2023;LP;90,29;20000;90,29;90,29;
FR0013341682;MOT;30/01/2023;31/01/2023;LP;90,29;20000;90,29;90,29;
FR0013341682;MOT;31/01/2023;03/02/2023;RP;90,2;0;0;0;
FR0013341682;MOT;03/02/2023;06/02/2023;RP;90,98;0;0;0;
FR0013341682;MOT;06/02/2023;07/02/2023;LP;90,71;7000;90,71;90,71;
FR0013341682;MOT;07/02/2023;08/02/2023;LP;90,57;18000;90,57;90,57;
