"Date","Price","Open","High","Low","Change %"
"03/27/2026","99.580","99.570","99.630","99.460","0.00%"
"03/26/2026","99.580","99.690","99.690","99.580","-0.20%"
"03/25/2026","99.780","99.640","99.850","99.640","0.16%"
"03/24/2026","99.620","99.840","99.990","99.620","-0.13%"
"03/23/2026","99.750","99.490","100.000","99.320","0.08%"
"03/20/2026","99.670","99.990","99.990","99.640","-0.16%"
"03/19/2026","99.830","99.960","100.140","99.800","-0.32%"
"03/18/2026","100.150","100.280","100.280","100.070","-0.07%"
"03/17/2026","100.220","100.220","100.270","100.220","0.03%"
"03/16/2026","100.190","100.130","100.250","100.010","0.11%"
"03/13/2026","100.080","100.120","100.220","100.020","-0.08%"
"03/12/2026","100.160","100.190","100.250","100.120","-0.09%"
"03/11/2026","100.250","100.480","100.480","100.200","-0.25%"
"03/10/2026","100.500","100.520","100.520","100.400","0.19%"
"03/09/2026","100.310","100.000","100.310","100.000","0.00%"
"03/06/2026","100.310","100.500","100.500","100.100","-0.23%"
"03/05/2026","100.540","100.610","100.700","100.500","-0.25%"
"03/04/2026","100.790","100.530","100.790","100.530","0.79%"
"03/03/2026","100.000","100.500","100.650","100.000","-0.81%"
"03/02/2026","100.820","100.900","100.900","100.790","-0.11%"
"02/27/2026","100.930","100.900","100.930","100.890","0.01%"
"02/26/2026","100.920","100.930","100.930","100.880","0.00%"
"02/25/2026","100.920","100.910","100.940","100.900","0.02%"
"02/24/2026","100.900","100.930","100.950","100.900","-0.02%"
"02/23/2026","100.920","100.920","100.940","100.900","0.02%"
"02/20/2026","100.900","100.920","100.940","100.900","0.00%"
"02/19/2026","100.900","100.910","100.930","100.850","-0.04%"
"02/18/2026","100.940","100.920","100.950","100.920","-0.01%"
"02/17/2026","100.950","100.980","100.980","100.940","-0.02%"
"02/16/2026","100.970","100.950","100.970","100.940","0.00%"
"02/13/2026","100.970","100.920","100.970","100.920","0.06%"
"02/12/2026","100.910","100.830","100.940","100.830","0.01%"
"02/11/2026","100.900","100.860","100.930","100.860","0.00%"
"02/10/2026","100.900","100.910","100.980","100.860","-0.01%"
"02/09/2026","100.910","100.870","100.910","100.860","0.05%"
"02/06/2026","100.860","100.870","100.890","100.840","0.02%"
"02/05/2026","100.840","100.870","100.880","100.840","0.01%"
"02/04/2026","100.830","100.830","100.870","100.830","-0.01%"
"02/03/2026","100.840","100.820","100.850","100.820","-0.02%"
"02/02/2026","100.860","100.900","100.910","100.830","-0.03%"
"01/30/2026","100.890","100.890","100.920","100.870","-0.03%"
"01/29/2026","100.920","100.870","100.920","100.870","0.01%"
"01/28/2026","100.910","100.880","100.960","100.880","0.05%"
"01/27/2026","100.860","100.810","101.300","100.780","0.04%"
"01/26/2026","100.820","100.820","100.850","100.800","0.05%"
"01/23/2026","100.770","100.800","100.800","100.760","-0.03%"
"01/22/2026","100.800","100.810","100.840","100.790","-0.04%"
"01/21/2026","100.840","100.860","100.900","100.830","0.00%"
"01/20/2026","100.840","100.850","100.870","100.810","-0.02%"
"01/19/2026","100.860","100.860","100.870","100.770","0.05%"
"01/16/2026","100.810","100.830","100.850","100.790","-0.02%"
"01/15/2026","100.830","100.860","100.870","100.760","-0.02%"
"01/14/2026","100.850","100.840","100.870","100.820","0.04%"
"01/13/2026","100.810","100.810","100.840","100.790","0.00%"
"01/12/2026","100.810","100.780","100.840","100.780","-0.01%"
"01/09/2026","100.820","100.790","100.820","100.790","0.05%"
"01/08/2026","100.770","100.810","100.810","100.740","-0.09%"
"01/07/2026","100.860","100.850","100.860","100.820","0.06%"
"01/06/2026","100.800","100.730","100.820","100.730","0.03%"
"01/05/2026","100.770","100.750","100.770","100.710","0.06%"
"01/02/2026","100.710","100.760","101.210","100.710","-0.09%"
"12/30/2025","100.800","100.780","100.800","100.760","-0.03%"
"12/29/2025","100.830","100.710","100.830","100.680","0.11%"
"12/23/2025","100.720","100.710","100.740","100.690","0.05%"
"12/22/2025","100.670","100.700","100.720","100.660","-0.05%"
"12/19/2025","100.720","100.750","100.760","100.680","-0.01%"
"12/18/2025","100.730","100.730","100.840","100.680","0.02%"
"12/17/2025","100.710","100.780","100.780","100.710","-0.01%"
"12/16/2025","100.720","100.710","100.740","100.690","0.03%"
"12/15/2025","100.690","100.710","100.730","100.690","0.01%"
"12/12/2025","100.680","100.700","100.700","100.660","-0.10%"
"12/11/2025","100.780","100.650","100.780","100.640","0.12%"
"12/10/2025","100.660","100.670","100.670","100.580","-0.04%"
"12/09/2025","100.700","100.630","100.720","100.620","0.03%"
"12/08/2025","100.670","100.800","100.800","100.650","-0.17%"
"12/05/2025","100.840","100.810","100.870","100.810","-0.02%"
"12/04/2025","100.860","100.860","100.930","100.840","-0.01%"
"12/03/2025","100.870","100.920","100.940","100.870","-0.04%"
"12/02/2025","100.910","100.870","100.910","100.860","0.02%"
"12/01/2025","100.890","100.920","100.940","100.870","-0.49%"
"11/28/2025","101.390","100.900","101.390","100.890","0.44%"
"11/27/2025","100.950","100.920","100.950","100.900","0.03%"
"11/26/2025","100.920","100.930","100.970","100.890","0.00%"
"11/25/2025","100.920","100.900","100.950","100.900","0.02%"
"11/24/2025","100.900","101.000","101.000","100.900","-0.01%"
"11/21/2025","100.910","100.910","100.970","100.910","-0.03%"
"11/20/2025","100.940","100.930","100.940","100.880","0.01%"
"11/19/2025","100.930","100.910","100.960","100.900","0.04%"
"11/18/2025","100.890","100.900","100.920","100.870","-0.01%"
"11/17/2025","100.900","100.870","100.910","100.860","0.05%"
"11/14/2025","100.850","100.870","100.980","100.850","-0.04%"
"11/13/2025","100.890","100.960","100.980","100.890","-0.08%"
"11/12/2025","100.970","100.950","101.000","100.950","-0.02%"
