isincode;marketcode;referencedate;endvaluedate;pricetype;pricevalue;volume;mintoday;maxtoday;Unnamed: 9
IT0005500068;MOT;02/01/2023;03/01/2023;LP;94,73;5330000;94,29;94,81;
IT0005500068;MOT;03/01/2023;04/01/2023;LP;94,83;7979000;94,5;95,01;
IT0005500068;MOT;04/01/2023;05/01/2023;LP;95,78;6907000;95,36;95,8;
IT0005500068;MOT;05/01/2023;06/01/2023;LP;95,5;12112000;95,35;95,72;
IT0005500068;MOT;06/01/2023;09/01/2023;LP;95,84;1819000;95,24;95,9;
IT0005500068;MOT;09/01/2023;10/01/2023;LP;95,96;5536000;95,43;95,98;
IT0005500068;MOT;10/01/2023;11/01/2023;LP;95,88;5906000;95,65;95,9;
IT0005500068;MOT;11/01/2023;12/01/2023;LP;96,41;8132000;95,92;96,46;
IT0005500068;MOT;12/01/2023;13/01/2023;LP;96,6;9787000;96,39;97,08;
IT0005500068;MOT;13/01/2023;16/01/2023;LP;96,8;6676000;96,58;97,13;
IT0005500068;MOT;16/01/2023;17/01/2023;LP;96,68;6061000;96,31;96,73;
IT0005500068;MOT;17/01/2023;18/01/2023;LP;97,3;8227000;96,37;97,41;
IT0005500068;MOT;18/01/2023;19/01/2023;LP;97,6;11426000;97;97,85;
IT0005500068;MOT;19/01/2023;20/01/2023;LP;97,49;8051000;97,12;97,78;
IT0005500068;MOT;20/01/2023;23/01/2023;LP;96,71;11718000;96,71;97,29;
IT0005500068;MOT;23/01/2023;24/01/2023;LP;96,7;10621000;96,42;97,25;
IT0005500068;MOT;24/01/2023;25/01/2023;LP;97,58;6989000;96,54;97,58;
IT0005500068;MOT;25/01/2023;26/01/2023;LP;96,85;5712000;96,73;97,18;
IT0005500068;MOT;26/01/2023;27/01/2023;LP;96,53;7128000;96,46;96,91;
IT0005500068;MOT;27/01/2023;30/01/2023;LP;96,21;9889000;96,05;96,5;
IT0005500068;MOT;30/01/2023;31/01/2023;LP;95,82;7266000;95,71;96,96;
IT0005500068;MOT;31/01/2023;03/02/2023;LP;95,96;9820000;95,75;96,13;
IT0005500068;MOT;03/02/2023;06/02/2023;LP;97,16;21141000;97;97,53;
IT0005500068;MOT;06/02/2023;07/02/2023;LP;96,66;25002000;96,6;96,91;
IT0005500068;MOT;07/02/2023;08/02/2023;LP;96,88;11923000;96,36;96,88;
IT0005500068;MOT;08/02/2023;09/02/2023;LP;96,49;12537000;95,98;96,49;
IT0005500068;MOT;09/02/2023;10/02/2023;LP;96,56;17174000;96,42;96,76;
IT0005500068;MOT;10/02/2023;13/02/2023;LP;96,28;8358000;96,12;96,47;
IT0005500068;MOT;13/02/2023;14/02/2023;LP;96,31;9219000;96,02;96,38;
IT0005500068;MOT;14/02/2023;15/02/2023;LP;96;11275000;96;96,55;
IT0005500068;MOT;15/02/2023;16/02/2023;LP;95,61;10316000;95,61;96,13;
IT0005500068;MOT;16/02/2023;17/02/2023;LP;95,68;10507000;95,4;95,79;
IT0005500068;MOT;17/02/2023;20/02/2023;LP;95,71;17554000;95,03;95,74;
